Mnemonic,Type,Packet,bit_byte
ADAESCID,U8,APID0013,/0212
ADSTATE,D3,APID0000,/0081:0-2
ADSTATE,D3,APID0001,/0099:0-2
ADSTATE,D3,APID0088,/0070:2-4
ADDVST,D2,APID0009,/0027:6-7
ADDETST,D2,APID0020,/0062:6-7
ADDV2POINT,D1,APID0000,/0081:3
ADACTRL,D1,APID0000,/0081:4
ADACTRL,D1,APID0001,/0099:3
ADACTRL,D1,APID0089,/0176:2
ADCSTDAY,U16,APID0000,/0082
ADCSTDAY,U16,APID0012,/0014
ADCSTDAY,U16,APID0089,/0014
ADCSTMS,U32,APID0000,/0084
ADCSTMS,U32,APID0012,/0016
ADCSTMS,U32,APID0089,/0016
ADCSTTDAY,U16,APID0009,/0142
ADCSTTMS,U32,APID0009,/0144
ADCSTTUS,U16,APID0009,/0148
ADCSTEST,D1,APID0009,/0154:0
ADCSLAUNCH,D1,APID0009,/0154:1
ADDVMAN,D1,APID0009,/0027:5
ADDETMAN,D1,APID0020,/0062:5
ADSPSTATS,D3,APID0000,/0088:0-2
ADSPSTATS,D3,APID0001,/0099:4-6
ADSPSTATS,D3,APID0088,/0070:5-7
ADSPSAFEIN,U3,APID0000,/0088:3-5
ADSPSAFEIN,U3,APID0001,/0100:0-2
ADSPSAFEIN,U3,APID0089,/0176:3-5
ADPRPRX,S16,APID0001,/0014
ADPRPRX,S16,APID0008,/0032
ADPRPRX,S16,APID0088,/0014
ADPRPRY,S16,APID0001,/0016
ADPRPRY,S16,APID0008,/0034
ADPRPRY,S16,APID0088,/0016
ADPRPRZ,S16,APID0001,/0018
ADPRPRZ,S16,APID0008,/0036
ADPRPRZ,S16,APID0088,/0018
ADRSBIASX,S16,APID0009,/0217
ADRSBIASY,S16,APID0009,/0219
ADRSBIASZ,S16,APID0009,/0221
ADRSAQ1,S16,APID0020,/0267
ADRSAQ2,S16,APID0020,/0269
ADRSAQ3,S16,APID0020,/0271
ADRSAQ4,S16,APID0020,/0273
ADGYDAY1,U16,APID0009,/0155
ADGYMS1,U32,APID0009,/0157
ADGYUS1,U16,APID0009,/0161
ADGYVTCW1,F64,APID0065,/0014
ADGYVTCW2,F64,APID0065,/0022
ADGYVTCW3,F64,APID0065,/0030
ADGYVTCW4,F64,APID0065,/0038
ADGYVTCW5,F64,APID0065,/0046
ADGYVTCW6,F64,APID0065,/0054
ADGYVTCW7,F64,APID0065,/0062
ADGYVTCW8,F64,APID0065,/0070
ADGYVTCW9,F64,APID0065,/0078
ADGYVTCW10,F64,APID0065,/0086
ADGYVTCW11,F64,APID0065,/0094
ADGYVTCW12,F64,APID0065,/0102
ADGYVTCW13,F64,APID0065,/0110
ADGYVTCW14,F64,APID0065,/0118
ADGYVTCW15,F64,APID0065,/0126
ADGYVTCW16,F64,APID0065,/0134
ADGYVTCW17,F64,APID0065,/0142
ADGYVTCW18,F64,APID0065,/0150
ADGYVTCW19,F64,APID0065,/0158
ADGYVTCW20,F64,APID0065,/0166
ADGYVTCW21,F64,APID0065,/0174
ADGYVTCW22,F64,APID0065,/0182
ADGYVTCW23,F64,APID0065,/0190
ADGYVTCW24,F64,APID0065,/0198
ADGYVTCW25,F64,APID0065,/0206
ADGYVTCW26,F64,APID0065,/0214
ADGYVTCW27,F64,APID0065,/0222
ADGYVTCW28,F64,APID0065,/0230
ADGYVTCW29,F64,APID0065,/0238
ADGYVTCW30,F64,APID0065,/0246
ADGYVTCW31,F64,APID0065,/0254
ADGYVTCW32,F64,APID0065,/0262
ADGYVTCW33,F64,APID0065,/0270
ADGYVTCW34,F64,APID0065,/0278
ADGYVTCW35,F64,APID0065,/0286
ADGYVTCW36,F64,APID0065,/0294
ADGYVTCW37,F64,APID0065,/0302
ADGYVTCW38,F64,APID0065,/0310
ADGYVTCW39,F64,APID0065,/0318
ADGYVTCW40,F64,APID0065,/0326
ADGYVTCW41,F64,APID0065,/0334
ADGYVTCW42,F64,APID0065,/0342
ADGYVTCW43,F64,APID0065,/0350
ADGYVTCW44,F64,APID0065,/0358
ADGYVTCW45,F64,APID0065,/0366
ADGYVTCW46,F64,APID0065,/0374
ADGYVTCW47,F64,APID0065,/0382
ADGYVTCW48,F64,APID0065,/0390
ADGYVTCW49,F64,APID0065,/0398
ADGYVTCW50,F64,APID0065,/0406
ADAESCID,U8,APID0011,/0014
ADAET1DAY,U16,APID0011,/0015
ADAET1MS,U32,APID0011,/0017
ADAET1US,U16,APID0011,/0021
ADAEPOSX,F32,APID0011,/0023
ADAEPOSY,F32,APID0011,/0027
ADAEPOSZ,F32,APID0011,/0031
ADAEVELX,F32,APID0011,/0035
ADAEVELY,F32,APID0011,/0039
ADAEVELZ,F32,APID0011,/0043
ADAET2DAY,U16,APID0011,/0047
ADAET2MS,U32,APID0011,/0049
ADAET2US,U16,APID0011,/0053
ADAEATTQ1,F32,APID0011,/0055
ADAEATTQ2,F32,APID0011,/0059
ADAEATTQ3,F32,APID0011,/0063
ADAEATTQ4,F32,APID0011,/0067
ADATTERR,D1,APID0008,/0046:0
ADATTERRPF,D1,APID0008,/0368:2
ADATTERRX,S16,APID0000,/0109
ADATTERRX,S16,APID0001,/0020
ADATTERRX,S16,APID0088,/0020
ADATTERRY,S16,APID0000,/0111
ADATTERRY,S16,APID0001,/0022
ADATTERRY,S16,APID0088,/0022
ADATTERRZ,S16,APID0000,/0113
ADATTERRZ,S16,APID0001,/0024
ADATTERRZ,S16,APID0088,/0024
ADSPKOAMIN,S16,APID0008,/0066
ADSPKOAIND,U3,APID0008,/0068:0-2
ADRATERR,D1,APID0008,/0031:6
ADRATERRPF,D1,APID0008,/0368:3
ADRATERRX,S16,APID0008,/0069
ADRATERRY,S16,APID0008,/0071
ADRATERRZ,S16,APID0008,/0073
ADINTERRX,S16,APID0008,/0075
ADINTERRY,S16,APID0008,/0077
ADINTERRZ,S16,APID0008,/0079
ADRLIMVX,D1,APID0008,/0068:3
ADRLIMVY,D1,APID0008,/0068:4
ADRLIMVZ,D1,APID0008,/0068:5
ADCTX,S16,APID0008,/0087
ADCTY,S16,APID0008,/0089
ADCTZ,S16,APID0008,/0091
ADDVDUR,U16,APID0020,/0091
ADEXPDVDUR,U16,APID0020,/0046
ADT1CMDOT,U16,APID0020,/0063
ADT2CMDOT,U16,APID0020,/0065
ADT3CMDOT,U16,APID0020,/0067
ADT4CMDOT,U16,APID0020,/0069
ADOTRIM,D1,APID0009,/0027:4
ADOTRIMSEC,U16,APID0009,/0073
ADDVMULT,U16,APID0020,/0247
ADATTERPX1,S16,APID0009,/0014
ADATTERPY1,S16,APID0009,/0016
ADATTERPZ1,S16,APID0009,/0018
ADSOLUTION,D5,APID0000,/0131:2-6
ADSOLUTION,D5,APID0001,/0100:3-7
ADSOLUTION,D5,APID0088,/0071:0-4
ADCFRX,S16,APID0000,/0133
ADCFRX,S16,APID0001,/0026
ADCFRX,S16,APID0088,/0026
ADCFRY,S16,APID0000,/0135
ADCFRY,S16,APID0001,/0028
ADCFRY,S16,APID0088,/0028
ADCFRZ,S16,APID0000,/0137
ADCFRZ,S16,APID0001,/0030
ADCFRZ,S16,APID0088,/0030
ADCFAQ1,S16,APID0008,/0038
ADCFAQ2,S16,APID0008,/0040
ADCFAQ3,S16,APID0008,/0042
ADCFAQ4,S16,APID0008,/0044
ADA12ST,D1,APID0008,/0046:1
ADA1OST,D1,APID0008,/0046:2
ADA2OST,D1,APID0008,/0046:3
ADVECPAIR,D4,APID0001,/0101:0-3
ADVECPAIR,D4,APID0008,/0046:4-7
ADVECPAIR,D4,APID0088,/0072:0-3
ADUMETHOD,D2,APID0008,/0047:0-1
ADOVERRIDE,D2,APID0008,/0047:2-3
ADMOMENT1,S16,APID0001,/0032
ADMOMENT1,S16,APID0008,/0048
ADMOMENT1,S16,APID0088,/0032
ADMOMENT2,S16,APID0001,/0034
ADMOMENT2,S16,APID0008,/0050
ADMOMENT2,S16,APID0088,/0034
ADMOMENT3,S16,APID0001,/0036
ADMOMENT3,S16,APID0008,/0052
ADMOMENT3,S16,APID0088,/0036
ADRWMOM1,S16,APID0008,/0054
ADRWMOM2,S16,APID0008,/0056
ADRWMOM3,S16,APID0008,/0058
ADBMOM1,S16,APID0008,/0060
ADBMOM2,S16,APID0008,/0062
ADBMOM3,S16,APID0008,/0064
ADMANDONE,D1,APID0008,/0096:3
ADMANDONE,D1,APID0098,/0020:0
ADMATTQ1,S16,APID0020,/0275
ADMATTQ2,S16,APID0020,/0277
ADMATTQ3,S16,APID0020,/0279
ADMATTQ4,S16,APID0020,/0281
ADMAQ1,S16,APID0020,/0014
ADMAQ2,S16,APID0020,/0016
ADMAQ3,S16,APID0020,/0018
ADMAQ4,S16,APID0020,/0020
ADPBARX,S16,APID0020,/0199
ADPBARY,S16,APID0020,/0201
ADPBARZ,S16,APID0020,/0203
ADPIBQ1,S16,APID0020,/0205
ADPIBQ2,S16,APID0020,/0207
ADPIBQ3,S16,APID0020,/0209
ADPIBQ4,S16,APID0020,/0211
ADFFAX1,S16,APID0020,/0034
ADFFAY1,S16,APID0020,/0036
ADFFAZ1,S16,APID0020,/0038
ADFFTX1,S16,APID0020,/0040
ADFFTY1,S16,APID0020,/0042
ADFFTZ1,S16,APID0020,/0044
ADDCFRAME,U3,APID0020,/0062:0-2
ADDRFRAME,D2,APID0020,/0062:3-4
ADDATTQ1,S16,APID0020,/0048
ADDATTQ2,S16,APID0020,/0050
ADDATTQ3,S16,APID0020,/0052
ADDATTQ4,S16,APID0020,/0054
ADDRATEX,S16,APID0020,/0056
ADDRATEY,S16,APID0020,/0058
ADDRATEZ,S16,APID0020,/0060
ADDACCX,S16,APID0020,/0245
ADDACCY,S16,APID0020,/0249
ADDACCZ,S16,APID0020,/0253
ADDCFSUNX,S16,APID0008,/0081
ADDCFSUNY,S16,APID0008,/0083
ADDCFSUNZ,S16,APID0008,/0085
ADASRCMD,S16,APID0020,/0251
ADST2TRIAD,S16,APID0012,/0057
ADST2TRIAD,S16,APID0020,/0077
ADST1SANG,U16,APID0020,/0283
ADST1MANG,U16,APID0020,/0285
ADST1EANG,U16,APID0020,/0287
ADST2SANG,U16,APID0020,/0289
ADST2MANG,U16,APID0020,/0291
ADST2EANG,U16,APID0020,/0293
ADGPSVALID,D1,APID0008,/0284:0
ADGPSVALID,D1,APID0012,/0124:0
ADGPSTIMEVALID,D1,APID0008,/0284:1
ADGPSNAVST,D1,APID0008,/0274:4
ADGPSNAVST,D1,APID0012,/0122:4
ADGPSSRC,D1,APID0008,/0368:0
ADGPSPATH,D1,APID0008,/0368:1
ADGPSSIGSEL,D2,APID0008,/0368:0-1
ADGPSSRC,D1,APID0012,/0121:0
ADGPSPATH,D1,APID0012,/0121:1
ADGPSSIGSEL,D2,APID0012,/0121:0-1
ADGPS1SO,D1,APID0009,/0261:2
ADGPS2SO,D1,APID0009,/0261:3
ADGPSULF,D2,APID0008,/0274:2-3
ADGPSULF,D2,APID0012,/0122:2-3
ADGPSACK,U8,APID0008,/0165
ADGPSTOFF,U16,APID0012,/0077
ADGPSTOFF,U16,APID0020,/0079
ADGPSCOFF,U16,APID0020,/0081
ADGPSCSUMF,U8,APID0008,/0275
ADGPSMSGLERR,U8,APID0020,/0083
ADGPSX25LERR,U8,APID0020,/0084
ADGPSRAWB,U32,APID0020,/0085
ADGPSSOLST,D1,APID0008,/0274:5
ADGPSSOLST,D1,APID0012,/0122:5
ADGPSDATST,D4,APID0009,/0066:0-3
ADGPSDATST,D4,APID0012,/0123:4-7
ADGPSPPSN,D1,APID0008,/0274:0
ADGPSDATN,D1,APID0008,/0274:1
ADGPSACTIVE,D1,APID0008,/0122:6
ADSCPTSGPSPPS,D1,APID0012,/0124:2
ADSCPTSGPSPPS,D1,APID0013,/0064:1
ADSCPTSINTPPS,D1,APID0012,/0124:3
ADSCPTSINTPPS,D1,APID0013,/0064:2
ADSCPTS1PPSOUT,D1,APID0012,/0124:4
ADSCPTS1PPSOUT,D1,APID0013,/0064:3
ADSCPTS8THPPSOUT,D1,APID0012,/0124:5
ADSCPTS8THPPSOUT,D1,APID0013,/0378:6
ADGPSVTCW,F64,APID0013,/0065
ADGPSTTDAY,U16,APID0008,/0166
ADGPSTTDAY,U16,APID0012,/0069
ADGPSTTMS,U32,APID0008,/0168
ADGPSTTMS,U32,APID0012,/0071
ADGPSTTUS,U16,APID0008,/0172
ADGPSTTUS,U16,APID0012,/0075
ADTODNSRC,D1,APID0013,/0064:0
ADPPSNTTDAY,U16,APID0013,/0056
ADPPSNTTMS,U32,APID0013,/0058
ADPPSNTTUS,U16,APID0013,/0062
ADGPSMNTH,U8,APID0008,/0174
ADGPSDAY,U8,APID0008,/0175
ADGPSYEAR,U16,APID0008,/0176
